case,T,P_signed_main,D_signed,P_abs_dipole,P_polar,P_hat,R_NL,R_hat
linear,0.200000,1.5797268729e-02,1.5797268729e-02,1.5797268729e-02,4.8309341846e-02,2.0000000000e-01,7.8986343643e-02,1.0000000000e+00
linear,0.350000,2.7645220275e-02,2.7645220275e-02,2.7645220275e-02,8.4541348230e-02,3.5000000000e-01,7.8986343643e-02,1.0000000000e+00
linear,0.500000,3.9493171822e-02,3.9493171822e-02,3.9493171822e-02,1.2077335461e-01,5.0000000000e-01,7.8986343643e-02,1.0000000000e+00
linear,0.650000,5.1341123368e-02,5.1341123368e-02,5.1341123368e-02,1.5700536100e-01,6.5000000000e-01,7.8986343643e-02,1.0000000000e+00
linear,0.800000,6.3189074915e-02,6.3189074915e-02,6.3189074915e-02,1.9323736738e-01,8.0000000000e-01,7.8986343643e-02,1.0000000000e+00
linear,1.000000,7.8986343643e-02,7.8986343643e-02,7.8986343643e-02,2.4154670923e-01,1.0000000000e+00,7.8986343643e-02,1.0000000000e+00
linear,1.200000,9.4783612372e-02,9.4783612372e-02,9.4783612372e-02,2.8985605108e-01,1.2000000000e+00,7.8986343643e-02,1.0000000000e+00
linear,1.400000,1.1058088110e-01,1.1058088110e-01,1.1058088110e-01,3.3816539292e-01,1.4000000000e+00,7.8986343643e-02,1.0000000000e+00
linear,1.600000,1.2637814983e-01,1.2637814983e-01,1.2637814983e-01,3.8647473477e-01,1.6000000000e+00,7.8986343643e-02,1.0000000000e+00
linear,1.800000,1.4217541856e-01,1.4217541856e-01,1.4217541856e-01,4.3478407661e-01,1.8000000000e+00,7.8986343643e-02,1.0000000000e+00
linear,2.000000,1.5797268729e-01,1.5797268729e-01,1.5797268729e-01,4.8309341846e-01,2.0000000000e+00,7.8986343643e-02,1.0000000000e+00
linear,2.200000,1.7376995602e-01,1.7376995602e-01,1.7376995602e-01,5.3140276031e-01,2.2000000000e+00,7.8986343643e-02,1.0000000000e+00
linear,2.500000,1.9746585911e-01,1.9746585911e-01,1.9746585911e-01,6.0386677307e-01,2.5000000000e+00,7.8986343643e-02,1.0000000000e+00
tilt,0.200000,1.5695490072e-02,1.5695490072e-02,1.5695490072e-02,4.8000578077e-02,2.3079890677e-01,7.7952124498e-02,1.1462697267e+00
tilt,0.350000,2.7107100505e-02,2.7107100505e-02,2.7107100505e-02,8.2908646705e-02,3.9860425726e-01,7.4202681284e-02,1.0911349465e+00
tilt,0.500000,3.7956294457e-02,3.7956294457e-02,3.7956294457e-02,1.1610940600e-01,5.5813939073e-01,6.9826864895e-02,1.0267894795e+00
tilt,0.650000,4.8055159974e-02,4.8055159974e-02,4.8055159974e-02,1.4703092040e-01,7.0664110111e-01,6.4355783226e-02,9.4633836505e-01
tilt,0.800000,5.7263029425e-02,5.7263029425e-02,5.7263029425e-02,1.7524360161e-01,8.4204090024e-01,5.8096202998e-02,8.5429254380e-01
tilt,1.000000,6.8005045133e-02,6.8005045133e-02,6.8005045133e-02,2.0818807506e-01,1.0000000000e+00,4.9152897303e-02,7.2278309951e-01
tilt,1.200000,7.6924188346e-02,7.6924188346e-02,7.6924188346e-02,2.3557670202e-01,1.1311541400e+00,4.0139429462e-02,5.9024193549e-01
tilt,1.400000,8.4060816918e-02,8.4060816918e-02,8.4060816918e-02,2.5752376438e-01,1.2360967742e+00,3.1547951945e-02,4.6390605114e-01
tilt,1.600000,8.9543369124e-02,8.9543369124e-02,8.9543369124e-02,2.7441307072e-01,1.3167165605e+00,2.3729044534e-02,3.4893064901e-01
tilt,1.800000,9.3552434731e-02,9.3552434731e-02,9.3552434731e-02,2.8678956420e-01,1.3756690338e+00,1.6868906002e-02,2.4805374321e-01
tilt,2.000000,9.6290931525e-02,9.6290931525e-02,9.6290931525e-02,2.9526873505e-01,1.4159380578e+00,1.1025285785e-02,1.6212452714e-01
tilt,2.200000,9.7962549045e-02,9.7962549045e-02,9.7962549045e-02,3.0047066226e-01,1.4405188447e+00,6.2401713335e-03,9.1760417500e-02
tilt,2.500000,9.8881538125e-02,9.8881538125e-02,9.8881538125e-02,3.0338674148e-01,1.4540323873e+00,-1.1357746982e-04,-1.6701329968e-03
latitude,0.200000,1.5721865772e-02,1.5721865772e-02,1.5721865772e-02,4.8078672633e-02,2.2588229611e-01,7.8278755806e-02,1.1246620060e+00
latitude,0.350000,2.7241124097e-02,2.7241124097e-02,2.7241124097e-02,8.3305155836e-02,3.9138406018e-01,7.5311355186e-02,1.0820281816e+00
latitude,0.500000,3.8315272328e-02,3.8315272328e-02,3.8315272328e-02,1.1716997830e-01,5.5049075059e-01,7.1711477132e-02,1.0303073024e+00
latitude,0.650000,4.8754567236e-02,4.8754567236e-02,4.8754567236e-02,1.4909268644e-01,7.0047625089e-01,6.6854786793e-02,9.6052930139e-01
latitude,0.800000,5.8371708366e-02,5.8371708366e-02,5.8371708366e-02,1.7850030264e-01,8.3864954100e-01,6.0701697559e-02,8.7212542207e-01
latitude,1.000000,6.9602027441e-02,6.9602027441e-02,6.9602027441e-02,2.1283867181e-01,1.0000000000e+00,5.0680824082e-02,7.2815154881e-01
latitude,1.200000,7.8644037999e-02,7.8644037999e-02,7.8644037999e-02,2.4048276987e-01,1.1299101605e+00,3.8863978669e-02,5.5837423274e-01
latitude,1.400000,8.5147618909e-02,8.5147618909e-02,8.5147618909e-02,2.6036169044e-01,1.2233496931e+00,2.5509292789e-02,3.6650215126e-01
latitude,1.600000,8.8847755115e-02,8.8847755115e-02,8.8847755115e-02,2.7166502650e-01,1.2765110210e+00,1.1131330382e-02,1.5992824910e-01
