b_TQ,b_LQ,state,Tstar,Mprime
0.00000000,0.00000000,1,1.5811388301e+00,-3.3333333333e-01
0.02793296,0.00000000,1,1.5085941643e+00,-4.1049567430e-01
0.05586592,0.00000000,1,1.4509831468e+00,-4.6540059389e-01
0.08379888,0.00000000,1,1.4031770759e+00,-5.0658877325e-01
0.11173184,0.00000000,1,1.3623262163e+00,-5.3859135999e-01
0.13966480,0.00000000,1,1.3266751891e+00,-5.6408462173e-01
0.16759777,0.00000000,1,1.2950629455e+00,-5.8477107162e-01
0.19553073,0.00000000,1,1.2666802511e+00,-6.0179466447e-01
0.22346369,0.00000000,1,1.2409399084e+00,-6.1595710954e-01
0.25139665,0.00000000,1,1.2174019883e+00,-6.2783939468e-01
0.27932961,0.00000000,1,1.1957281976e+00,-6.3787420389e-01
0.30726257,0.00000000,1,1.1756527073e+00,-6.4639116983e-01
0.33519553,0.00000000,1,1.1569627756e+00,-6.5364627929e-01
0.36312849,0.00000000,1,1.1394854607e+00,-6.5984161869e-01
0.39106145,0.00000000,1,1.1230782546e+00,-6.6513900895e-01
0.41899441,0.00000000,1,1.1076223260e+00,-6.6966965078e-01
0.44692737,0.00000000,1,1.0930175435e+00,-6.7354109266e-01
0.47486034,0.00000000,1,1.0791787434e+00,-6.7684235882e-01
0.50279330,0.00000000,1,1.0660328856e+00,-6.7964778542e-01
0.53072626,0.00000000,1,1.0535168564e+00,-6.8201993290e-01
0.55865922,0.00000000,1,1.0415757465e+00,-6.8401182620e-01
0.58659218,0.00000000,1,1.0301614888e+00,-6.8566869871e-01
0.61452514,0.00000000,1,1.0192317671e+00,-6.8702936457e-01
0.64245810,0.00000000,1,1.0087491343e+00,-6.8812730928e-01
0.67039106,0.00000000,1,9.9868029362e-01,-6.8899156441e-01
0.69832402,0.00000000,1,9.8899550787e-01,-6.8964741478e-01
0.72625698,0.00000000,1,9.7966810990e-01,-6.9011697490e-01
0.75418994,0.00000000,1,9.7067409482e-01,-6.9041966189e-01
0.78212291,0.00000000,1,9.6199177751e-01,-6.9057258632e-01
0.81005587,0.00000000,1,9.5360150359e-01,-6.9059087698e-01
0.83798883,0.00000000,1,9.4548540406e-01,-6.9048795243e-01
0.86592179,0.00000000,1,9.3762718580e-01,-6.9027574921e-01
0.89385475,0.00000000,1,9.3001195203e-01,-6.8996491466e-01
0.92178771,0.00000000,1,9.2262604751e-01,-6.8956497051e-01
0.94972067,0.00000000,1,9.1545692473e-01,-6.8908445236e-01
0.97765363,0.00000000,1,9.0849302750e-01,-6.8853102912e-01
1.00558659,0.00000000,1,9.0172368956e-01,-6.8791160558e-01
1.03351955,0.00000000,1,8.9513904573e-01,-6.8723241099e-01
1.06145251,0.00000000,1,8.8872995388e-01,-6.8649907567e-01
1.08938547,0.00000000,1,8.8248792624e-01,-6.8571669759e-01
1.11731844,0.00000000,1,8.7640506858e-01,-6.8488990040e-01
1.14525140,0.00000000,1,8.7047402632e-01,-6.8402288410e-01
1.17318436,0.00000000,1,8.6468793662e-01,-6.8311946951e-01
1.20111732,0.00000000,1,8.5904038568e-01,-6.8218313731e-01
1.22905028,0.00000000,1,8.5352537052e-01,-6.8121706252e-01
1.25698324,0.00000000,1,8.4813726480e-01,-6.8022414486e-01
1.28491620,0.00000000,1,8.4287078805e-01,-6.7920703572e-01
1.31284916,0.00000000,1,8.3772097804e-01,-6.7816816204e-01
1.34078212,0.00000000,1,8.3268316579e-01,-6.7710974763e-01
1.36871508,0.00000000,1,8.2775295304e-01,-6.7603383209e-01
1.39664804,0.00000000,1,8.2292619180e-01,-6.7494228773e-01
1.42458101,0.00000000,1,8.1819896578e-01,-6.7383683480e-01
1.45251397,0.00000000,1,8.1356757357e-01,-6.7271905500e-01
1.48044693,0.00000000,1,8.0902851324e-01,-6.7159040372e-01
1.50837989,0.00000000,1,8.0457846835e-01,-6.7045222105e-01
1.53631285,0.00000000,1,8.0021429515e-01,-6.6930574162e-01
1.56424581,0.00000000,1,7.9593301082e-01,-6.6815210359e-01
1.59217877,0.00000000,1,7.9173178277e-01,-6.6699235670e-01
1.62011173,0.00000000,1,7.8760791873e-01,-6.6582746959e-01
1.64804469,0.00000000,1,7.8355885771e-01,-6.6465833643e-01
1.67597765,0.00000000,1,7.7958216165e-01,-6.6348578293e-01
1.70391061,0.00000000,1,7.7567550768e-01,-6.6231057184e-01
1.73184358,0.00000000,1,7.7183668108e-01,-6.6113340791e-01
1.75977654,0.00000000,1,7.6806356864e-01,-6.5995494244e-01
1.78770950,0.00000000,1,7.6435415263e-01,-6.5877577741e-01
1.81564246,0.00000000,1,7.6070650517e-01,-6.5759646929e-01
1.84357542,0.00000000,1,7.5711878295e-01,-6.5641753249e-01
1.87150838,0.00000000,1,7.5358922246e-01,-6.5523944251e-01
1.89944134,0.00000000,1,7.5011613541e-01,-6.5406263887e-01
1.92737430,0.00000000,1,7.4669790460e-01,-6.5288752778e-01
1.95530726,0.00000000,1,7.4333297995e-01,-6.5171448457e-01
1.98324022,0.00000000,1,7.4001987491e-01,-6.5054385592e-01
2.01117318,0.00000000,1,7.3675716302e-01,-6.4937596200e-01
2.03910615,0.00000000,1,7.3354347474e-01,-6.4821109829e-01
2.06703911,0.00000000,1,7.3037749452e-01,-6.4704953740e-01
2.09497207,0.00000000,1,7.2725795797e-01,-6.4589153065e-01
2.12290503,0.00000000,1,7.2418364929e-01,-6.4473730961e-01
2.15083799,0.00000000,1,7.2115339879e-01,-6.4358708742e-01
2.17877095,0.00000000,1,7.1816608066e-01,-6.4244106014e-01
2.20670391,0.00000000,1,7.1522061078e-01,-6.4129940787e-01
2.23463687,0.00000000,1,7.1231594470e-01,-6.4016229588e-01
2.26256983,0.00000000,1,7.0945107576e-01,-6.3902987561e-01
2.29050279,0.00000000,1,7.0662503328e-01,-6.3790228563e-01
2.31843575,0.00000000,1,7.0383688090e-01,-6.3677965247e-01
2.34636872,0.00000000,1,7.0108571498e-01,-6.3566209150e-01
2.37430168,0.00000000,1,6.9837066311e-01,-6.3454970759e-01
2.40223464,0.00000000,1,6.9569088269e-01,-6.3344259590e-01
2.43016760,0.00000000,1,6.9304555960e-01,-6.3234084248e-01
2.45810056,0.00000000,1,6.9043390696e-01,-6.3124452489e-01
2.48603352,0.00000000,1,6.8785516390e-01,-6.3015371274e-01
2.51396648,0.00000000,1,6.8530859446e-01,-6.2906846825e-01
2.54189944,0.00000000,1,6.8279348653e-01,-6.2798884675e-01
2.56983240,0.00000000,1,6.8030915082e-01,-6.2691489706e-01
2.59776536,0.00000000,1,6.7785491989e-01,-6.2584666200e-01
2.62569832,0.00000000,1,6.7543014731e-01,-6.2478417876e-01
2.65363128,0.00000000,1,6.7303420670e-01,-6.2372747924e-01
2.68156425,0.00000000,1,6.7066649100e-01,-6.2267659044e-01
2.70949721,0.00000000,1,6.6832641163e-01,-6.2163153477e-01
2.73743017,0.00000000,1,6.6601339778e-01,-6.2059233034e-01
2.76536313,0.00000000,1,6.6372689573e-01,-6.1955899125e-01
2.79329609,0.00000000,1,6.6146636813e-01,-6.1853152786e-01
2.82122905,0.00000000,1,6.5923129341e-01,-6.1750994704e-01
2.84916201,0.00000000,1,6.5702116514e-01,-6.1649425240e-01
2.87709497,0.00000000,1,6.5483549148e-01,-6.1548444449e-01
2.90502793,0.00000000,1,6.5267379461e-01,-6.1448052105e-01
2.93296089,0.00000000,1,6.5053561025e-01,-6.1348247713e-01
2.96089385,0.00000000,1,6.4842048709e-01,-6.1249030533e-01
2.98882682,0.00000000,1,6.4632798635e-01,-6.1150399596e-01
3.01675978,0.00000000,1,6.4425768136e-01,-6.1052353717e-01
3.04469274,0.00000000,1,6.4220915706e-01,-6.0954891512e-01
3.07262570,0.00000000,1,6.4018200962e-01,-6.0858011408e-01
3.10055866,0.00000000,1,6.3817584603e-01,-6.0761711665e-01
3.12849162,0.00000000,1,6.3619028374e-01,-6.0665990377e-01
3.15642458,0.00000000,1,6.3422495029e-01,-6.0570845492e-01
3.18435754,0.00000000,1,6.3227948292e-01,-6.0476274818e-01
3.21229050,0.00000000,1,6.3035352831e-01,-6.0382276036e-01
3.24022346,0.00000000,1,6.2844674220e-01,-6.0288846708e-01
3.26815642,0.00000000,1,6.2655878912e-01,-6.0195984284e-01
3.29608939,0.00000000,1,6.2468934208e-01,-6.0103686115e-01
3.32402235,0.00000000,1,6.2283808230e-01,-6.0011949459e-01
3.35195531,0.00000000,1,6.2100469890e-01,-5.9920771486e-01
3.37988827,0.00000000,1,6.1918888873e-01,-5.9830149287e-01
3.40782123,0.00000000,1,6.1739035603e-01,-5.9740079882e-01
3.43575419,0.00000000,1,6.1560881224e-01,-5.9650560223e-01
3.46368715,0.00000000,1,6.1384397576e-01,-5.9561587203e-01
3.49162011,0.00000000,1,6.1209557172e-01,-5.9473157657e-01
3.51955307,0.00000000,1,6.1036333181e-01,-5.9385268374e-01
3.54748603,0.00000000,1,6.0864699400e-01,-5.9297916094e-01
3.57541899,0.00000000,1,6.0694630244e-01,-5.9211097519e-01
3.60335196,0.00000000,1,6.0526100719e-01,-5.9124809313e-01
3.63128492,0.00000000,1,6.0359086408e-01,-5.9039048108e-01
3.65921788,0.00000000,1,6.0193563454e-01,-5.8953810507e-01
3.68715084,0.00000000,1,6.0029508541e-01,-5.8869093088e-01
3.71508380,0.00000000,1,5.9866898878e-01,-5.8784892409e-01
3.74301676,0.00000000,1,5.9705712188e-01,-5.8701205006e-01
3.77094972,0.00000000,1,5.9545926685e-01,-5.8618027402e-01
3.79888268,0.00000000,1,5.9387521068e-01,-5.8535356105e-01
3.82681564,0.00000000,1,5.9230474501e-01,-5.8453187615e-01
3.85474860,0.00000000,1,5.9074766601e-01,-5.8371518421e-01
